,Year,Country,Total,Solid Fuel,Liquid Fuel,Gas Fuel,Cement,Gas Flaring,Per Capita,Bunker fuels (Not in Total)
0,1889,INDONESIA,1,1,0,0,0,0,0.0,0
1,1890,INDONESIA,4,4,0,0,0,0,0.0,0
2,1891,INDONESIA,6,6,0,0,0,0,0.0,0
3,1892,INDONESIA,49,51,-3,0,0,0,0.0,0
4,1893,INDONESIA,110,49,62,0,0,0,0.0,0
5,1894,INDONESIA,131,70,61,0,0,0,0.0,0
6,1895,INDONESIA,210,93,116,0,0,0,0.0,0
7,1896,INDONESIA,235,103,132,0,0,0,0.0,0
8,1897,INDONESIA,302,118,184,0,0,0,0.0,0
9,1898,INDONESIA,352,119,233,0,0,0,0.0,0
10,1899,INDONESIA,307,135,172,0,0,0,0.0,0
11,1900,INDONESIA,330,147,183,0,0,0,0.0,0
12,1901,INDONESIA,612,148,464,0,0,0,0.0,0
13,1902,INDONESIA,420,139,281,0,0,0,0.0,0
14,1903,INDONESIA,819,153,666,0,0,0,0.0,0
15,1904,INDONESIA,919,167,752,0,0,0,0.0,0
16,1905,INDONESIA,1128,221,907,0,0,0,0.0,0
17,1906,INDONESIA,1215,269,946,0,0,0,0.0,0
18,1907,INDONESIA,1445,291,1154,0,0,0,0.0,0
19,1908,INDONESIA,1499,310,1189,0,0,0,0.0,0
20,1909,INDONESIA,1634,358,1276,0,0,0,0.0,0
21,1910,INDONESIA,1668,393,1275,0,0,0,0.0,0
22,1911,INDONESIA,1836,437,1399,0,0,0,0.0,0
23,1912,INDONESIA,1594,441,1153,0,0,0,0.0,0
24,1913,INDONESIA,1610,411,1199,0,0,0,0.0,0
25,1914,INDONESIA,1642,448,1194,0,0,0,0.0,0
26,1915,INDONESIA,1646,451,1195,0,0,0,0.0,0
27,1916,INDONESIA,1846,542,1304,0,0,0,0.0,0
28,1917,INDONESIA,1948,596,1352,0,0,0,0.0,0
29,1918,INDONESIA,1946,603,1343,0,0,0,0.0,0
30,1919,INDONESIA,2084,688,1397,0,0,0,0.0,0
31,1920,INDONESIA,2255,794,1461,0,0,0,0.0,0
32,1921,INDONESIA,2390,878,1474,39,0,0,0.0,0
33,1922,INDONESIA,2265,754,1470,41,0,0,0.0,0
34,1923,INDONESIA,2617,837,1690,91,0,0,0.0,0
35,1924,INDONESIA,2889,1048,1726,115,0,0,0.0,0
36,1925,INDONESIA,3024,1014,1843,167,0,0,0.0,0
37,1926,INDONESIA,3029,1062,1816,151,0,0,0.0,0
38,1927,INDONESIA,3517,1173,2199,145,0,0,0.0,0
39,1928,INDONESIA,4048,1234,2620,195,0,0,0.0,0
40,1929,INDONESIA,5060,1327,3495,218,20,0,0.0,0
41,1930,INDONESIA,4936,1355,3342,219,19,0,0.0,0
42,1931,INDONESIA,4611,1017,3234,343,18,0,0.0,0
43,1932,INDONESIA,4527,760,3397,359,11,0,0.0,0
44,1933,INDONESIA,4875,749,3703,413,10,0,0.0,0
45,1934,INDONESIA,5250,748,4046,440,15,0,0.0,0
46,1935,INDONESIA,5459,804,4190,445,19,0,0.0,0
47,1936,INDONESIA,5941,831,4667,425,18,0,0.0,0
48,1937,INDONESIA,6917,994,5460,463,0,0,0.0,0
49,1938,INDONESIA,7296,1055,5742,499,0,0,0.0,0
50,1939,INDONESIA,7970,1290,6145,513,23,0,0.0,0
51,1940,INDONESIA,7842,1455,5856,531,0,0,0.0,0
52,1941,INDONESIA,7229,1441,5764,0,23,0,0.0,0
53,1942,INDONESIA,2581,0,2581,0,0,0,0.0,0
54,1943,INDONESIA,5193,0,5193,0,0,0,0.0,0
55,1944,INDONESIA,2394,0,2394,0,0,0,0.0,0
56,1945,INDONESIA,1039,222,817,0,0,0,0.0,0
57,1946,INDONESIA,367,114,253,0,0,0,0.0,0
58,1947,INDONESIA,1107,161,932,13,1,0,0.0,0
