-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2021 
Location: Latitude  37.7749   Longitude -122.4194 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 86.52 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
TS                    MERRA-2 Earth Skin Temperature (C) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_RANGE             MERRA-2 Temperature at 2 Meters Range (C) 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,2010,9.44,10.48,10.75,11.22,12.1,15.46,16.05,16.63,17.47,14.9,11.26,9.53,12.95
TS,2011,8.48,8.52,10.37,11.37,12.26,14.82,16.56,16.72,17.58,15.42,10.7,7.94,12.58
TS,2012,8.66,9.68,10.02,12.26,13.8,15.9,16.85,17.18,15.93,15.73,12.62,9.56,13.19
TS,2013,7.48,8.9,10.91,13.01,15.04,16.81,17.49,17.91,17.69,14.23,11.88,7.84,13.29
TS,2014,9.73,10.73,12.6,13.37,15.6,17.12,18.82,18.98,18.9,17.44,13.48,11.69,14.9
TS,2015,9.9,12.27,13.13,12.83,13.66,16.94,19.04,19.3,18.63,17.85,11.44,9.67,14.57
TS,2016,10.25,11.55,12.54,13.8,15.12,17.2,17.28,17.19,17.57,15.19,13.13,8.9,14.15
TS,2017,8.4,10.62,12.09,12.75,14.17,16.26,17.46,18.71,19.54,15.76,12.7,9.3,14.0
TS,2018,10.27,10.19,10.92,13.04,14.83,17.26,18.8,17.73,17.47,16.5,12.68,10.2,14.18
TS,2019,10.29,9.23,11.15,14.01,14.24,17.4,17.98,19.64,19.11,15.42,12.32,10.3,14.28
TS,2020,9.63,10.8,11.32,14.0,16.51,18.51,18.38,19.69,19.34,17.78,11.69,9.49,14.77
TS,2021,9.59,10.45,10.6,13.3,15.81,17.98,18.47,18.81,18.48,15.33,12.54,9.37,14.24
T2M,2010,9.38,10.64,10.65,10.94,11.97,15.32,15.28,15.95,17.64,15.12,11.5,9.85,12.86
T2M,2011,8.58,8.66,10.43,11.12,12.05,14.6,16.02,15.97,17.42,16.0,10.86,8.65,12.55
T2M,2012,9.26,9.9,10.05,12.09,13.51,15.56,15.99,16.41,15.43,15.86,13.11,9.68,13.08
T2M,2013,7.48,9.12,10.98,13.14,14.83,16.39,16.53,17.18,17.62,14.65,12.58,8.43,13.26
T2M,2014,10.91,10.86,12.78,13.19,15.6,16.51,18.01,17.98,18.3,17.95,13.89,11.82,14.84
T2M,2015,10.45,12.86,13.47,12.68,13.0,16.28,18.26,18.62,18.7,18.0,11.54,9.74,14.48
T2M,2016,10.38,12.23,12.49,13.83,14.73,16.69,16.5,16.19,17.37,15.5,13.48,8.9,14.02
T2M,2017,8.41,10.77,12.24,12.71,14.08,15.92,16.63,17.9,19.6,16.62,13.01,9.94,14.0
T2M,2018,10.72,10.87,11.15,12.49,14.0,16.42,17.6,16.88,16.75,16.5,13.76,10.33,13.98
T2M,2019,10.83,8.94,11.22,13.8,13.32,17.11,17.0,18.78,18.85,16.12,13.0,10.58,14.15
T2M,2020,9.91,11.56,11.07,13.37,15.88,17.54,17.03,18.83,19.21,18.32,12.05,10.15,14.58
T2M,2021,10.19,10.76,10.56,12.51,14.87,16.76,17.0,17.69,17.62,15.41,13.01,9.22,13.81
T2MDEW,2010,7.76,8.78,7.28,7.55,8.44,10.99,10.87,10.96,10.04,9.93,7.12,8.05,8.98
T2MDEW,2011,6.32,4.87,8.12,7.64,8.41,11.0,11.75,11.84,11.06,10.74,6.85,2.66,8.46
T2MDEW,2012,5.05,5.7,6.38,8.69,8.7,9.33,10.76,10.74,10.31,9.91,9.33,6.95,8.49
T2MDEW,2013,4.5,5.78,7.77,8.1,8.5,10.57,11.51,12.51,11.81,5.86,6.2,2.06,7.94
T2MDEW,2014,3.94,8.15,8.9,9.18,9.08,9.87,12.19,13.11,13.5,10.87,9.4,9.76,9.83
T2MDEW,2015,7.87,9.69,9.91,8.19,9.36,11.55,13.08,13.27,10.26,12.2,6.49,6.59,9.88
T2MDEW,2016,8.31,8.78,9.75,9.72,10.65,10.5,10.73,11.51,10.3,11.21,10.39,6.05,9.83
T2MDEW,2017,6.3,8.67,9.36,9.4,10.32,11.73,11.16,12.59,11.87,6.8,9.67,4.41,9.35
T2MDEW,2018,8.69,5.4,7.32,8.8,9.92,10.48,11.77,11.68,10.41,9.65,4.72,7.17,8.87
T2MDEW,2019,8.01,5.95,8.03,10.69,10.26,11.57,12.08,13.01,12.12,5.02,6.43,8.71,9.34
T2MDEW,2020,8.11,6.46,6.83,8.74,10.05,10.37,10.8,11.95,11.71,7.71,6.28,5.87,8.74
T2MDEW,2021,6.72,6.21,5.23,7.08,8.01,10.48,10.85,11.75,10.96,9.5,10.12,7.38,8.7
T2MWET,2010,8.58,9.71,8.96,9.24,10.2,13.15,13.08,13.45,13.84,12.52,9.3,8.95,10.92
T2MWET,2011,7.45,6.76,9.27,9.37,10.23,12.8,13.89,13.9,14.24,13.37,8.86,5.65,10.51
T2MWET,2012,7.15,7.8,8.21,10.39,11.1,12.44,13.37,13.58,12.87,12.89,11.22,8.31,10.79
T2MWET,2013,5.98,7.45,9.37,10.62,11.66,13.48,14.01,14.84,14.71,10.26,9.39,5.25,10.6
T2MWET,2014,7.43,9.51,10.84,11.18,12.34,13.19,15.11,15.55,15.9,14.41,11.65,10.8,12.34
T2MWET,2015,9.16,11.27,11.69,10.44,11.18,13.91,15.67,15.94,14.48,15.1,9.01,8.16,12.18
T2MWET,2016,9.34,10.51,11.12,11.77,12.69,13.59,13.62,13.85,13.83,13.35,11.94,7.47,11.92
T2MWET,2017,7.36,9.73,10.8,11.05,12.19,13.83,13.9,15.24,15.73,11.71,11.34,7.18,11.67
T2MWET,2018,9.7,8.14,9.24,10.64,11.96,13.44,14.69,14.28,13.58,13.08,9.24,8.76,11.42
T2MWET,2019,9.42,7.45,9.62,12.24,11.8,14.33,14.54,15.9,15.48,10.58,9.71,9.65,11.75
T2MWET,2020,9.01,9.01,8.95,11.06,12.96,13.95,13.91,15.4,15.46,13.01,9.17,8.01,11.66
T2MWET,2021,8.45,8.49,7.89,9.8,11.44,13.62,13.93,14.72,14.3,12.45,11.56,8.3,11.26
T2M_MAX,2010,14.59,18.36,22.44,21.67,21.55,26.88,28.05,34.59,34.14,30.62,24.01,17.51,34.59
T2M_MAX,2011,17.03,19.55,22.75,23.09,24.06,29.42,28.79,26.44,31.78,28.87,21.57,19.58,31.78
T2M_MAX,2012,18.4,20.3,20.55,27.58,25.28,30.6,27.08,26.77,31.25,34.3,25.24,17.13,34.3
T2M_MAX,2013,17.18,17.86,20.95,25.48,28.37,29.57,26.74,28.11,30.91,27.1,23.47,19.75,30.91
T2M_MAX,2014,21.04,20.73,23.23,29.61,29.77,33.19,32.27,27.69,31.95,32.09,24.65,18.5,33.19
T2M_MAX,2015,18.76,20.57,24.59,27.58,26.39,29.71,30.87,31.57,33.48,30.9,21.01,17.3,33.48
T2M_MAX,2016,16.07,20.71,22.08,25.01,26.15,29.02,27.7,24.8,33.52,29.19,23.13,16.62,33.52
T2M_MAX,2017,14.61,16.9,23.3,22.64,26.02,31.99,29.05,34.03,38.02,29.65,21.25,17.33,38.02
T2M_MAX,2018,18.26,22.2,24.67,24.8,27.83,31.42,27.32,27.02,29.69,27.14,27.69,16.41,31.42
T2M_MAX,2019,17.71,14.84,21.23,26.29,22.17,32.94,27.66,31.76,34.68,29.94,25.9,16.5,34.68
T2M_MAX,2020,18.66,21.94,23.53,25.56,29.92,29.91,27.42,35.47,39.03,32.81,26.25,20.15,39.03
T2M_MAX,2021,22.16,19.9,25.59,26.08,27.17,29.44,28.24,32.33,30.49,30.12,20.68,19.26,32.33
T2M_MIN,2010,4.11,4.94,3.71,5.07,4.98,8.72,9.48,9.86,9.86,5.76,0.72,1.6,0.72
T2M_MIN,2011,0.61,1.06,5.62,3.47,6.59,8.22,10.2,10.46,10.58,8.48,4.9,1.32,0.61
T2M_MIN,2012,1.39,2.29,3.4,3.41,6.89,7.55,10.01,10.0,9.8,9.05,5.48,1.65,1.39
